Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CacheFlow\CacheFlow.csproj,File,CacheFlow\CacheFlow.csproj,,,Microsoft.Extensions.Caching.Abstractions 8.0.0,,,,,"Microsoft.Extensions.Caching.Abstractions, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Caching.Abstractions, and replace with new package Microsoft.Extensions.Caching.Abstractions 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CacheFlow\CacheFlow.csproj,File,CacheFlow\CacheFlow.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 8.0.2,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 8.0.2  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CacheFlow\CacheFlow.csproj,File,CacheFlow\CacheFlow.csproj,,,Microsoft.Extensions.Logging.Abstractions 8.0.3,,,,,"Microsoft.Extensions.Logging.Abstractions, 8.0.3  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CacheFlow\CacheFlow.csproj,File,CacheFlow\CacheFlow.csproj,,,Microsoft.Extensions.Options 8.0.2,,,,,"Microsoft.Extensions.Options, 8.0.2  Recommendation:  Remove Microsoft.Extensions.Options, and replace with new package Microsoft.Extensions.Options 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CacheFlow\CacheFlow.csproj,File,CacheFlow\CacheFlow.csproj,,,System.Text.Json 8.0.6,,,,,"System.Text.Json, 8.0.6  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CacheFlow\CacheFlow.csproj,File,CacheFlow\CacheFlow.csproj,,,System.Diagnostics.DiagnosticSource 8.0.1,,,,,"System.Diagnostics.DiagnosticSource, 8.0.1  Recommendation:  Remove System.Diagnostics.DiagnosticSource, and replace with new package System.Diagnostics.DiagnosticSource 10.0.7"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CacheFlow\CacheFlow.csproj,File,CacheFlow\CacheFlow.csproj,,,,,,,,Current target framework: netcoreapp3.1;net5.0;net6.0;net7.0;net8.0 Recommended target framework: netcoreapp3.1;net5.0;net6.0;net7.0;net8.0;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CacheFlow\CacheFlow.csproj,File,CacheFlow\Telemetry\ActivitySourceHelper.cs,23,8,"M:System.Diagnostics.ActivitySource.StartActivity(System.String,System.Diagnostics.ActivityKind,System.Diagnostics.ActivityContext,System.Collections.Generic.IEnumerable{System.Collections.Generic.KeyValuePair{System.String,System.Object}},System.Collections.Generic.IEnumerable{System.Diagnostics.ActivityLink},System.DateTimeOffset)",,,,,"var activity = Activity.Current is null              ? source.StartActivity(BuildName(activityName))              : source.StartActivity(BuildName(activityName), ActivityKind.Internal, Activity.Current.Context);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CacheFlow\CacheFlow.csproj,File,CacheFlow\Telemetry\ActivitySourceHelper.cs,23,8,"M:System.Diagnostics.ActivitySource.StartActivity(System.String,System.Diagnostics.ActivityKind)",,,,,"var activity = Activity.Current is null              ? source.StartActivity(BuildName(activityName))              : source.StartActivity(BuildName(activityName), ActivityKind.Internal, Activity.Current.Context);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CacheFlow\CacheFlow.csproj,File,CacheFlow\Telemetry\ActivitySourceHelper.cs,12,8,"M:System.Diagnostics.ActivitySource.StartActivity(System.String,System.Diagnostics.ActivityKind,System.Diagnostics.ActivityContext,System.Collections.Generic.IEnumerable{System.Collections.Generic.KeyValuePair{System.String,System.Object}},System.Collections.Generic.IEnumerable{System.Diagnostics.ActivityLink},System.DateTimeOffset)",,,,,"return Activity.Current is null              ? source.StartActivity(BuildName(activityName))              : source.StartActivity(BuildName(activityName), ActivityKind.Internal, Activity.Current.Context);"
